session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,1,9dvnmsr0,0,,InitializeParticipant,1662037718,1,0,0
grj9bsph,1,9dvnmsr0,1,si_experiment,Intro,1662037746,1,0,0
grj9bsph,2,ke7q69tn,0,,InitializeParticipant,1662037872,1,0,0
grj9bsph,1,9dvnmsr0,2,si_experiment,PreQuestions,1662037894,1,0,0
grj9bsph,2,ke7q69tn,1,si_experiment,Intro,1662037903,1,0,0
grj9bsph,2,ke7q69tn,2,si_experiment,PreQuestions,1662037984,1,0,0
grj9bsph,1,9dvnmsr0,8,si_experiment,Task,1662038031,1,0,0
grj9bsph,2,ke7q69tn,8,si_experiment,Task,1662038055,1,0,0
grj9bsph,2,ke7q69tn,9,si_experiment,PercAccuracy,1662038103,1,0,0
grj9bsph,1,9dvnmsr0,9,si_experiment,PercAccuracy,1662038115,1,0,0
grj9bsph,2,ke7q69tn,10,si_experiment,WTP,1662038171,1,0,0
grj9bsph,3,v3m0u3xf,0,,InitializeParticipant,1662038182,1,0,0
grj9bsph,2,ke7q69tn,11,si_experiment,Revision,1662038203,1,0,0
grj9bsph,3,v3m0u3xf,1,si_experiment,Intro,1662038209,1,0,0
grj9bsph,1,9dvnmsr0,10,si_experiment,WTP,1662038211,1,0,0
grj9bsph,2,ke7q69tn,12,si_experiment,PostQuestions,1662038260,1,0,0
grj9bsph,2,ke7q69tn,13,si_experiment,Stage2,1662038270,1,0,0
grj9bsph,4,ltf43gz0,0,,InitializeParticipant,1662038280,1,0,0
grj9bsph,3,v3m0u3xf,2,si_experiment,PreQuestions,1662038289,1,0,0
grj9bsph,4,ltf43gz0,1,si_experiment,Intro,1662038298,1,0,0
grj9bsph,1,9dvnmsr0,11,si_experiment,Revision,1662038310,1,0,0
grj9bsph,5,0u5dhlfr,0,,InitializeParticipant,1662038341,1,0,0
grj9bsph,6,sxzstz12,0,,InitializeParticipant,1662038345,1,0,0
grj9bsph,2,ke7q69tn,14,si_experiment,Task2,1662038346,1,0,0
grj9bsph,2,ke7q69tn,15,si_experiment,PercAccuracy2,1662038361,1,0,0
grj9bsph,4,ltf43gz0,2,si_experiment,PreQuestions,1662038371,1,0,0
grj9bsph,2,ke7q69tn,16,si_experiment,Revision2,1662038389,1,0,0
grj9bsph,1,9dvnmsr0,12,si_experiment,PostQuestions,1662038402,1,0,0
grj9bsph,1,9dvnmsr0,13,si_experiment,Stage2,1662038409,1,0,0
grj9bsph,5,0u5dhlfr,1,si_experiment,Intro,1662038412,1,0,0
grj9bsph,2,ke7q69tn,17,si_experiment,PostQuestions2,1662038431,1,0,0
grj9bsph,3,v3m0u3xf,3,si_experiment,Task2_1,1662038446,1,0,0
grj9bsph,4,ltf43gz0,8,si_experiment,Task,1662038446,1,0,0
grj9bsph,6,sxzstz12,1,si_experiment,Intro,1662038450,1,0,0
grj9bsph,2,ke7q69tn,19,si_experiment,SocDist1,1662038473,1,0,0
grj9bsph,2,ke7q69tn,20,si_experiment,SocDist2,1662038500,1,0,0
grj9bsph,4,ltf43gz0,9,si_experiment,PercAccuracy,1662038501,1,0,0
